start,end,label
5 PM,6 PM,Election
5 PM,6 PM,Female
5 PM,6 PM,President
5 PM,6 PM,Landslide
5 PM,6 PM,Crush
5 PM,6 PM,Vote
5 PM,6 PM,Liar
5 PM,6 PM,Hate
5 PM,6 PM,Hope
5 PM,6 PM,Anxious
5 PM,6 PM,Sure
6 PM,7 PM,Republican
6 PM,7 PM,House
6 PM,7 PM,Florida
7 PM,8 PM,Hope
7 PM,8 PM,Attack
7 PM,8 PM,Women
8 PM,9 PM,Immigrant
8 PM,9 PM,Islam
8 PM,9 PM,Florida
8 PM,9 PM,Surprise
9 PM,10 PM,Canada
9 PM,10 PM,Disappointed
9 PM,10 PM,Anxiety
9 PM,10 PM,Indiana
9 PM,10 PM,President
9 PM,10 PM,Rural
10 PM,11 PM,Obama
10 PM,11 PM,Tower
10 PM,11 PM,Wall
11 PM,12 PM,Mexican
11 PM,12 PM,American
11 PM,12 PM,Love
11 PM,12 PM,Lose
12 PM,1 AM,Shock
12 PM,1 AM,Trumpland
12 PM,1 AM,Media
12 PM,1 AM,Edge
1 AM,2 AM,Concession
2 AM,3 AM,Hate
2 AM,3 AM,Stock
2 AM,3 AM,Crash
2 AM,3 AM,End
2 AM,3 AM,Why
2 AM,3 AM,Revolution
2 AM,3 AM,Fight
2 AM,3 AM,Cry
2 AM,3 AM,Despair
